"REPORT_ID","Unit No","No Of Cas","Veh Reg State","Unit Type","Veh Year","Direction Of Travel","Sex","Age","Lic State","Licence Class","Licence Type","Towing","Unit Movement","Number Occupants","Postcode","Rollover","Fire"
"2024-55029-19/09/2025","02",0,"SA","Utility","2017","East","Female","024","SA","C","Probationary","Not Towing","Straight Ahead","001","5038",,
"2024-55030-19/09/2025","01",0,"SA","Motor Cars - Sedan","2012","South","Female","021","SA","C","Provisional 2","Not Towing","Straight Ahead","001","5110",,
"2024-55030-19/09/2025","02",0,"SA","Utility","2022","South","Female","034","SA","C","Full","Not Towing","Stopped on Carriageway","001","5110",,
"2024-55030-19/09/2025","03",0,"SA","Station Wagon","2005","South","Female","036","SA","C","Full","Not Towing","Stopped on Carriageway","001","5118",,
"2024-55031-19/09/2025","01",0,"SA","Motor Cars - Sedan","2009","South West","Male","028","SA","C","Provisional 2","Not Towing","Straight Ahead","001","5040",,
"2024-55031-19/09/2025","02",0,,"Animal - Wild",,,,,,,,,,,,,
"2024-55032-19/09/2025","01",0,"SA","RIGID TRUCK LGE GE 4.5T","2019","North West","Male","057","SA","MR","Full","Not Towing","Overtaking - on Left","001","5174",,
"2024-55032-19/09/2025","02",0,"SA","Station Wagon","2013","North West","Female","063","SA","C","Full","Not Towing","Left Turn","001","5052",,
"2024-55033-19/09/2025","01",0,"SA","Station Wagon","2010","South","Male","019","SA","CRD","Provisional 2","Not Towing","Straight Ahead","001","5241",,
"2024-55033-19/09/2025","02",0,,"Animal - Wild",,,,,,,,,,,,,
"2024-55034-19/09/2025","01",0,"SA","Motor Cars - Sedan","2015","North East","Male","071","SA","C","Full","Not Towing","Stopped on Carriageway","001","5048",,
"2024-55034-19/09/2025","02",0,"SA","OMNIBUS","2002","North East","Male","044","SA","HR","Full","Not Towing","Straight Ahead","001","5158",,
"2024-55035-19/09/2025","01",0,"SA","Station Wagon","2005","North","Female","038","SA","C","Full","Not Towing","Entering Private Driveway","002","5047",,
"2024-55035-19/09/2025","02",0,,"Pedal Cycle",,"North","Unknown","XXX",,,,,"Straight Ahead","001","XXXX",,
"2024-55036-19/09/2025","01",1,"SA","Motor Cars - Sedan","2005","South","Female","042","SA","C","Learners","Not Towing","Straight Ahead","001","5070",,
"2024-55036-19/09/2025","02",0,,"Stobie Pole",,,,,,,,,,,,,
"2024-55037-19/09/2025","01",0,"SA","Motor Cars - Sedan","2016","West","Female","048","SA","C","Full","Not Towing","Straight Ahead","001","5035",,
"2024-55037-19/09/2025","02",0,"SA","Panel Van","2002","West","Male","056","SA","C","Full","Not Towing","U Turn","001","5010",,
"2024-55037-19/09/2025","03",0,"SA","Station Wagon","2016","West",,,,,,"Unknown","Parked","000",,,
"2024-55038-19/09/2025","01",0,"SA","Motor Cars - Sedan","2008","North","Female","018","SA","C","Provisional 2","Not Towing","Straight Ahead","001","5173",,
"2024-55038-19/09/2025","02",0,"SA","Motor Cars - Sedan","2008","North","Male","025","SA","C","Full","Not Towing","U Turn","001","5173",,
"2024-55039-19/09/2025","01",0,"SA","Utility","2023","North","Female","032","SA","C","Full","Not Towing","Right Turn","001","5254",,
"2024-55039-19/09/2025","02",0,"SA","Motor Cycle","2007","North","Male","023","SA","RD","Learners","Not Towing","Overtaking - on Right","001","5125",,
"2024-55040-19/09/2025","01",0,"SA","Motor Cars - Sedan","2015","South","Female","080","SA","C","Full","Not Towing","Overtaking - on Right","001","5073",,
"2024-55040-19/09/2025","02",0,"SA","Station Wagon","2022","South","Female","081","SA","C","Full","Not Towing","Straight Ahead","001","5070",,
"2024-55040-19/09/2025","03",0,"UNKNOWN","Motor Vehicle - Type Unknown","XXXX","South",,,,,,"Not Towing","Parked","000",,,
"2024-55041-19/09/2025","01",2,"SA","Motor Cars - Sedan","2012","North West","Male","076","SA","C","Full","Not Towing","Straight Ahead","002","5109",,
"2024-55041-19/09/2025","02",2,"SA","Motor Cars - Sedan","2009","North East","Female","065","SA","C","Full","Not Towing","Right Turn","002","5606",,
"2024-55042-19/09/2025","01",0,"SA","Other Defined Special Vehicle","2013","South West","Male","065","SA","HCR","Full","Not Towing","Straight Ahead","001","5090",,
"2024-55042-19/09/2025","02",0,"SA","Motor Cars - Sedan","2007","South West","Male","072","SA","C","Full","Not Towing","Stopped on Carriageway","001","5083",,
