road_no,tesecn_start_rrd,tesecn_end_rrd,tesecn_id,tesecn_volume,traffic_score,crashes_30m,has_crash_near_segment,fatal_serious_30m,child_30m,ped_30m,severity_weighted_30m,high_risk,cv_percent,rlcwy_code,rlcwy_code_binary
4879,29.29,37.09,6401295.0,130,100.0,2,True,1,0,0,12,0,9.0,U,0
15060,9.11,13.61,7902563.0,27,38.0,1,True,1,0,0,11,0,26.0,U,0
4793,21.38,30.41,5154003.0,1700,1300.0,7,True,2,0,0,27,0,8.0,U,0
7200,0.0,2.85,3288128.0,32500,21500.0,232,True,5,5,7,342,1,5.0,L,1
4489,26.81,29.24,3286796.0,2500,1600.0,24,True,0,3,2,49,0,4.0,U,0
6185,2.74,2.99,3287750.0,48200,28500.0,78,True,0,2,0,88,1,3.0,L,1
7152,0.0,0.22,3288120.0,2800,3000.0,4,True,0,0,1,9,0,17.0,L,1
4016,0.0,35.3,3286575.0,130,130.0,5,True,0,0,0,5,0,14.5,U,0
6167,0.63,0.8,11240727.0,4600,2500.0,8,True,1,0,5,43,0,1.5,U,0
6234,0.0,0.39,11414486.0,6000,4100.0,49,True,1,1,1,69,0,5.5,U,0
8487,43.71,60.82,3288393.0,650,800.0,3,True,2,0,0,23,0,21.5,U,0
7404,0.0,27.81,3288240.0,550,470.0,2,True,1,0,0,12,0,11.0,U,0
4515,20.2,20.75,12899986.0,4100,2900.0,3,True,0,0,0,3,0,6.5,U,0
4156,0.34,0.47,3286628.0,1200,750.0,2,True,0,0,0,2,0,4.0,U,0
6212,6.41,8.05,3287856.0,29300,17000.0,91,True,4,1,9,181,1,2.5,L,1
8640,12.61,12.83,3288400.0,700,900.0,0,False,0,0,0,0,0,23.0,U,0
5411,0.0,0.67,3641943.0,3800,4300.0,39,True,1,0,1,54,0,18.5,U,0
7200,242.09,244.99,7690124.0,5900,7600.0,6,True,0,0,1,11,0,23.5,U,0
4500,69.87,70.27,6389373.0,11000,19300.0,0,False,0,0,0,0,0,37.5,L,1
4360,0.0,0.88,3286655.0,4700,4100.0,12,True,3,2,1,57,0,11.5,U,0
6215,6.18,6.39,4428149.0,27700,17500.0,12,True,0,0,1,17,0,4.5,L,1
3583,0.0,16.28,3286477.0,430,550.0,3,True,2,0,1,28,0,22.0,U,0
4640,1.31,2.16,4755869.0,9700,5500.0,14,True,1,0,1,29,0,2.5,U,0
7382,0.0,22.87,12458883.0,550,1200.0,6,True,3,0,3,51,0,49.0,U,0
4500,70.27,70.83,6389374.0,10200,14200.0,3,True,0,0,0,3,0,26.5,L,1
4402,0.0,0.67,3286712.0,6300,3600.0,26,True,1,0,1,41,0,2.5,U,0
6215,0.64,1.54,3287864.0,16700,10000.0,95,True,1,2,5,140,1,3.0,L,1
4515,13.82,15.17,7624202.0,15200,9100.0,20,True,0,1,1,30,0,3.5,U,0
4392,0.0,0.27,3286698.0,1300,1100.0,18,True,0,0,0,18,0,10.0,U,0
6215,6.39,7.2,3856886.0,27700,17500.0,42,True,5,0,3,107,1,4.5,U,0
5410,0.0,0.53,6382689.0,6300,5300.0,8,True,0,0,0,8,0,10.5,U,0
4646,3.76,4.11,13636683.0,13300,8100.0,6,True,0,0,1,11,0,3.5,U,0
4384,32.96,33.26,3286685.0,13300,8200.0,3,True,0,0,0,3,0,3.5,U,0
5421,0.19,0.94,7188772.0,3800,7500.0,17,True,1,0,1,32,0,42.0,U,0
4661,0.0,7.5,3287015.0,1000,850.0,12,True,1,1,1,32,0,11.0,U,0
4643,2.56,3.17,3286969.0,4500,2600.0,2,True,0,0,1,7,0,2.5,U,0
6203,29.46,31.53,3287824.0,17600,10300.0,23,True,2,1,1,53,0,3.0,L,1
4640,73.82,74.17,6222985.0,7900,6400.0,2,True,0,0,0,2,0,9.5,U,0
6024,4.1,4.94,4757245.0,16400,10400.0,26,True,1,1,4,61,0,4.5,U,0
1503,9.79,13.4,3286173.0,300,550.0,1,True,0,0,0,1,0,40.0,U,0
3500,289.95,292.34,13647548.0,30700,27000.0,52,True,1,2,1,77,1,11.5,L,1
4643,0.34,2.56,3286967.0,9600,6300.0,27,True,2,0,4,67,0,5.0,U,0
7263,0.0,9.24,3288213.0,1100,900.0,5,True,0,1,1,15,0,10.0,U,0
6155,1.88,2.16,11240835.0,20200,14700.0,41,True,2,1,8,106,1,7.0,L,1
4542,0.0,0.3,3286905.0,2100,1400.0,4,True,0,0,0,4,0,4.5,U,0
6458,0.0,0.42,3287911.0,27000,15700.0,33,True,0,2,2,53,0,3.0,U,0
6161,2.22,3.12,4446695.0,15200,8200.0,41,True,5,2,9,146,1,1.5,U,0
4543,0.0,0.44,3286906.0,2100,1400.0,4,True,0,0,0,4,0,6.0,U,0
6164,0.5,0.65,11240654.0,23000,12700.0,21,True,2,0,7,76,1,2.0,L,1
4419,0.0,0.67,3286727.0,8900,5100.0,11,True,0,0,0,11,0,2.5,U,0
3870,52.02,52.46,7028382.0,1100,1300.0,0,False,0,0,0,0,0,21.0,U,0
4126,0.0,0.08,3286602.0,4800,4700.0,1,True,0,0,0,1,0,14.5,U,0
8400,339.33,347.38,3288365.0,4100,4500.0,17,True,2,1,0,42,0,17.0,U,0
2600,49.22,50.6,3286256.0,3900,3200.0,14,True,1,0,1,29,0,9.5,L,1
4489,3.02,3.54,3286763.0,43800,24700.0,112,True,4,2,4,182,1,2.0,L,1
4760,4.3,4.47,12053253.0,21700,15300.0,3,True,0,0,0,3,0,6.0,L,1
5221,1.16,1.67,4691831.0,30900,17900.0,79,True,2,1,6,134,1,3.0,U,0
3332,22.89,23.59,3286366.0,900,1000.0,1,True,0,0,0,1,0,19.0,U,0
4483,8.25,21.04,4689846.0,1200,1300.0,16,True,3,1,4,71,0,16.0,U,0
88206,1.18,15.73,3288544.0,470,410.0,2,True,0,0,0,2,0,10.5,U,0
4489,3.69,5.36,4748814.0,51100,29200.0,238,True,7,3,14,393,1,2.5,L,1
6158,1.9,2.16,11240767.0,13200,10600.0,31,True,2,0,8,91,1,9.0,L,1
4408,0.0,0.51,3286720.0,12700,7100.0,20,True,0,0,0,20,0,2.0,U,0
4760,11.74,12.3,6409775.0,12100,10500.0,1,True,0,0,0,1,0,10.5,U,0
8480,0.0,0.34,3288382.0,1300,1300.0,0,False,0,0,0,0,0,15.5,U,0
2427,0.0,0.07,3286243.0,8400,5500.0,6,True,0,0,0,6,0,5.0,U,0
5603,0.0,1.28,3287357.0,34600,26000.0,161,True,2,2,5,216,1,8.0,L,1
4781,0.0,5.53,3287071.0,5500,3600.0,17,True,1,3,1,47,0,5.0,U,0
72000,11.98,13.04,6090661.0,6700,4600.0,4,True,1,0,0,14,0,6.0,U,0
48800,0.0,0.34,11264619.0,1300,1500.0,5,True,1,0,0,15,0,18.5,U,0
6180,3.1,4.67,4322607.0,25700,16700.0,162,True,6,3,14,307,1,4.5,U,0
4646,4.11,4.7,4696125.0,11400,7000.0,5,True,0,0,2,15,0,4.0,U,0
6203,7.87,8.76,12884672.0,56300,55300.0,111,True,3,2,6,181,1,14.5,L,1
6203,20.23,21.04,4210385.0,11100,8400.0,36,True,1,1,3,66,0,8.0,L,1
4513,1.48,3.9,5153904.0,4100,3400.0,11,True,1,0,2,31,0,10.0,U,0
6203,32.6,33.38,3287828.0,17500,10500.0,22,True,2,0,1,47,0,3.5,L,1
6449,0.02,1.11,3287902.0,5300,2900.0,9,True,0,0,0,9,0,1.5,U,0
4544,0.0,0.6,3286907.0,1800,1200.0,8,True,0,0,0,8,0,5.0,U,0
6461,3.36,4.58,3287919.0,32700,19700.0,113,True,4,3,10,218,1,3.5,U,0
4582,0.0,0.55,3286918.0,2000,2100.0,1,True,0,0,0,1,0,16.5,U,0
5648,2.45,3.41,3287437.0,15200,9100.0,7,True,1,0,1,22,0,3.5,L,1
6161,1.18,1.67,11240811.0,18200,11600.0,40,True,0,0,3,55,0,4.5,L,1
22021,1.51,4.62,7241468.0,2000,2500.0,1,True,1,0,1,16,0,22.5,U,0
7003,0.0,28.22,3288090.0,550,800.0,9,True,2,0,0,29,0,27.5,U,0
4012,26.18,29.86,3286557.0,440,410.0,1,True,0,0,0,1,0,13.5,U,0
3500,121.21,134.64,3286437.0,3100,5100.0,9,True,1,0,1,24,0,32.5,U,0
6164,0.16,0.3,11240650.0,16800,10600.0,26,True,2,0,5,71,0,4.0,L,1
4553,0.0,0.53,3286910.0,1800,1200.0,10,True,0,1,0,15,0,5.5,U,0
8000,179.63,186.4,12985975.0,3800,4200.0,6,True,2,2,0,36,0,17.0,U,0
5633,3.66,5.19,6234623.0,19200,12900.0,41,True,1,0,1,56,0,5.0,U,0
5000,13.05,17.07,4774495.0,7600,4700.0,28,True,2,4,0,68,0,4.0,U,0
3492,47.1,47.56,7034162.0,1300,1300.0,1,True,0,0,0,1,0,15.5,U,0
